date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
05:24:18	5688/5688	---M--	200	added ('OK')	text/html	date:Tue,%2015%20Oct%202024%2012:24:18%20GMT	https://preskool.dreamstechnologies.com/cf-fonts/s/roboto/5.0.11/vietnamese/300/normal.woff2	C:/Users/ABOLARIN/Downloads/website%20templates/schooladmin/preskool.dreamstechnologies.com/cf-fonts/s/roboto/5.0.11/vietnamese/300/normal.html	(from https://preskool.dreamstechnologies.com/)
05:24:18	5796/5796	---M--	200	added ('OK')	text/html	date:Tue,%2015%20Oct%202024%2012:24:18%20GMT	https://preskool.dreamstechnologies.com/cf-fonts/s/roboto/5.0.11/vietnamese/400/normal.woff2	C:/Users/ABOLARIN/Downloads/website%20templates/schooladmin/preskool.dreamstechnologies.com/cf-fonts/s/roboto/5.0.11/vietnamese/400/normal.html	(from https://preskool.dreamstechnologies.com/)
05:24:19	15336/15336	---M--	200	added ('OK')	text/html	date:Tue,%2015%20Oct%202024%2012:24:18%20GMT	https://preskool.dreamstechnologies.com/cf-fonts/s/roboto/5.0.11/cyrillic-ext/400/normal.woff2	C:/Users/ABOLARIN/Downloads/website%20templates/schooladmin/preskool.dreamstechnologies.com/cf-fonts/s/roboto/5.0.11/cyrillic-ext/400/normal.html	(from https://preskool.dreamstechnologies.com/)
05:24:19	7096/7096	---M--	200	added ('OK')	text/html	date:Tue,%2015%20Oct%202024%2012:24:19%20GMT	https://preskool.dreamstechnologies.com/cf-fonts/s/roboto/5.0.11/greek/400/normal.woff2	C:/Users/ABOLARIN/Downloads/website%20templates/schooladmin/preskool.dreamstechnologies.com/cf-fonts/s/roboto/5.0.11/greek/400/normal.html	(from https://preskool.dreamstechnologies.com/)
05:24:19	1496/1496	---M--	200	added ('OK')	text/html	date:Tue,%2015%20Oct%202024%2012:24:19%20GMT	https://preskool.dreamstechnologies.com/cf-fonts/s/roboto/5.0.11/greek-ext/400/normal.woff2	C:/Users/ABOLARIN/Downloads/website%20templates/schooladmin/preskool.dreamstechnologies.com/cf-fonts/s/roboto/5.0.11/greek-ext/400/normal.html	(from https://preskool.dreamstechnologies.com/)
05:24:20	9852/9852	---M--	200	added ('OK')	text/html	date:Tue,%2015%20Oct%202024%2012:24:19%20GMT	https://preskool.dreamstechnologies.com/cf-fonts/s/roboto/5.0.11/cyrillic/400/normal.woff2	C:/Users/ABOLARIN/Downloads/website%20templates/schooladmin/preskool.dreamstechnologies.com/cf-fonts/s/roboto/5.0.11/cyrillic/400/normal.html	(from https://preskool.dreamstechnologies.com/)
05:24:20	15744/15744	---M--	200	added ('OK')	text/html	date:Tue,%2015%20Oct%202024%2012:24:20%20GMT	https://preskool.dreamstechnologies.com/cf-fonts/s/roboto/5.0.11/latin/400/normal.woff2	C:/Users/ABOLARIN/Downloads/website%20templates/schooladmin/preskool.dreamstechnologies.com/cf-fonts/s/roboto/5.0.11/latin/400/normal.html	(from https://preskool.dreamstechnologies.com/)
05:24:20	12456/12456	---M--	200	added ('OK')	text/html	date:Tue,%2015%20Oct%202024%2012:24:20%20GMT	https://preskool.dreamstechnologies.com/cf-fonts/s/roboto/5.0.11/latin-ext/400/normal.woff2	C:/Users/ABOLARIN/Downloads/website%20templates/schooladmin/preskool.dreamstechnologies.com/cf-fonts/s/roboto/5.0.11/latin-ext/400/normal.html	(from https://preskool.dreamstechnologies.com/)
05:24:20	14988/14988	---M--	200	added ('OK')	text/html	date:Tue,%2015%20Oct%202024%2012:24:20%20GMT	https://preskool.dreamstechnologies.com/cf-fonts/s/roboto/5.0.11/cyrillic-ext/500/normal.woff2	C:/Users/ABOLARIN/Downloads/website%20templates/schooladmin/preskool.dreamstechnologies.com/cf-fonts/s/roboto/5.0.11/cyrillic-ext/500/normal.html	(from https://preskool.dreamstechnologies.com/)
05:24:20	12280/12280	---M--	200	added ('OK')	text/html	date:Tue,%2015%20Oct%202024%2012:24:20%20GMT	https://preskool.dreamstechnologies.com/cf-fonts/s/roboto/5.0.11/latin-ext/500/normal.woff2	C:/Users/ABOLARIN/Downloads/website%20templates/schooladmin/preskool.dreamstechnologies.com/cf-fonts/s/roboto/5.0.11/latin-ext/500/normal.html	(from https://preskool.dreamstechnologies.com/)
